Time,Accel. Pedal[%],Ambient Pressure[psig],Boost (Pre-Throttle)[psig],Boost pressure (Target)[psig],Coolant Temp[F],Engine speed[rpm],Gear Actual[],HPFP (Target)[psig],HPFP Act.[psig],IAT[F],Ignition Cyl 1[deg],Ignition Timing 1[deg],Ignition Timing 2[deg],Ignition Timing 3[deg],Ignition Timing 4[deg],Knock Detected[0/1],LPFP Act. (Raw)[psig],Lambda[AFR],Lambda Act. (Bank 1)[AFR],Lambda Control Factor (Bank 1) - Faster[AFR],Load Act. (Rel.)[%],Load Target (Rel.)[%],MAF[lb/min],MAP[psig],Mass flow HFM[lb/min],Oil Temp[F],Relative Air Filling[%],STFT[],Throttle Angle[%],Vehicle Speed[mph],Wastegate Duty Cycle (Bank 1)[%],bootmod3_0.40.029_unknown,638df7bbd10b43b2d827be02
0.955,100,-0.1,10.4,12.4,212,2483,3,2876,2852,68,5.2,5.5,2.5,2.5,5.5,0,84,14.62,14.62,16.27,87.5,151.5,288.0,9.8,402.9,217,202,1.10,100,26,97,
1.005,100,-0.1,11.6,12.2,212,2524,3,2877,2850,68,4.5,4.5,1.5,1.5,4.5,0,84,14.38,14.38,16.13,92.9,162.7,316.0,11.2,413.2,217,211,1.09,100,27,93,
1.044,100,-0.1,12.0,12.0,212,2579,3,2878,2857,68,3.7,4.0,1.0,1.0,4.0,0,84,14.01,14.01,16.04,98.4,168.0,332.0,11.8,373.1,217,220,1.09,100,27,94,
1.095,100,-0.1,12.1,12.0,212,2600,3,2878,2858,68,3.7,4.0,1.0,1.0,4.0,0,84,13.66,13.66,15.98,99.6,169.5,340.0,11.9,390.6,217,225,1.08,100,27,94,
1.135,100,-0.1,12.8,12.0,212,2624,3,2879,2898,68,3.0,3.5,0.8,0.5,3.5,0,84,13.11,13.11,15.94,99.6,172.5,348.0,12.2,440.5,217,227,1.08,70,27,92,
1.185,100,-0.1,13.3,12.0,212,2644,3,2879,2895,68,3.0,3.5,0.8,0.5,3.5,0,84,13.23,13.23,16.13,99.6,172.5,352.0,12.3,429.6,217,230,1.09,45,28,90,
1.225,100,-0.1,13.5,12.1,212,2702,3,2880,2911,67,3.7,4.0,1.3,1.0,4.0,0,84,13.03,13.03,16.15,99.6,171.0,356.0,12.2,386.7,217,229,1.09,36,28,91,
1.275,100,-0.1,13.6,12.2,212,2719,3,2880,2892,67,4.5,4.5,1.8,1.5,4.5,0,84,13.06,13.06,16.34,99.6,170.2,356.0,12.0,385.4,217,227,1.11,34,29,91,
1.315,100,-0.1,13.6,12.3,212,2753,3,2880,2901,67,4.5,4.5,1.8,1.8,4.5,0,84,12.79,12.79,16.32,98.8,170.2,360.0,12.2,389.2,217,227,1.11,35,29,91,
1.365,100,-0.1,13.6,12.5,212,2797,3,2881,2885,67,4.5,5.0,2.3,2.3,5.0,0,84,12.68,12.68,16.33,98.4,169.5,364.0,12.3,392.3,217,227,1.11,36,30,91,
1.414,100,-0.1,13.6,12.6,212,2839,3,2881,2876,67,4.5,5.0,2.3,2.3,5.0,0,84,12.65,12.65,16.37,98.0,170.2,372.0,12.5,400.3,217,227,1.11,39,31,91,
1.455,100,-0.1,13.7,12.9,212,2886,3,2882,2876,67,4.5,5.0,2.7,2.3,5.0,0,84,12.52,12.52,16.37,98.0,171.7,380.0,12.8,431.8,217,227,1.11,45,31,92,
1.494,100,-0.1,13.8,13.1,212,2922,3,2882,2876,67,4.5,4.5,2.2,1.8,4.5,0,84,12.61,12.61,16.48,98.4,174.0,392.0,13.1,450.1,217,229,1.12,50,31,92,
1.535,100,-0.1,14.1,13.2,212,2959,3,2882,2878,67,4.5,4.5,2.2,1.8,4.5,0,84,12.58,12.58,16.55,99.2,175.5,400.0,13.3,478.4,217,232,1.12,51,31,91,
1.575,100,-0.1,14.6,13.4,212,2995,3,2882,2887,67,3.7,4.0,1.7,1.3,4.0,0,84,12.52,12.52,16.60,99.6,176.2,408.0,13.5,487.2,217,234,1.12,48,32,91,
1.615,100,-0.1,15.0,13.5,212,3030,3,2882,2879,65,4.5,4.5,2.2,1.8,4.5,0,84,12.48,12.48,16.66,99.6,177.7,416.0,13.7,496.1,217,235,1.13,43,32,90,
1.655,100,-0.1,15.4,13.6,212,3053,3,2882,2874,65,4.5,4.5,2.2,2.2,4.5,0,84,12.34,12.34,16.65,99.6,177.0,416.0,13.6,495.1,217,237,1.13,37,33,88,
1.694,100,-0.1,15.5,13.7,212,3079,3,2882,2874,65,4.5,5.0,2.7,2.7,5.0,0,84,12.28,12.28,16.64,99.6,176.2,420.0,13.6,445.2,217,236,1.13,34,33,88,
1.744,100,-0.1,15.4,13.7,212,3113,3,2882,2879,65,4.5,4.9,3.2,3.2,4.9,0,84,12.18,12.18,16.59,99.2,176.2,420.0,13.6,449.4,217,235,1.12,34,33,88,
1.794,100,-0.1,15.2,13.8,212,3155,3,2882,2875,65,4.5,5.2,3.6,3.2,5.2,0,84,12.11,12.11,16.51,98.4,175.5,424.0,13.6,450.2,217,234,1.12,36,34,88,
1.835,100,-0.1,15.0,13.9,212,3200,3,2882,2882,65,5.2,5.7,4.1,3.7,5.7,0,84,12.14,12.14,16.44,98.4,176.2,432.0,13.8,471.4,217,234,1.11,40,34,89,
1.875,100,-0.1,14.9,14.0,212,3239,3,2882,2885,65,5.2,5.8,4.1,3.7,5.8,0,84,12.27,12.27,16.48,98.4,177.0,440.0,14.0,480.0,217,235,1.12,45,34,89,
1.925,100,-0.1,14.9,14.2,212,3274,3,2882,2884,64,6.0,6.3,4.6,4.2,6.3,0,84,12.39,12.39,16.56,98.4,177.7,448.0,14.1,492.4,217,236,1.12,50,35,89,
1.975,100,-0.1,14.9,14.4,212,3317,3,2882,2893,64,6.0,6.3,4.6,4.2,6.3,0,84,12.26,12.26,16.50,98.8,179.2,456.0,14.4,518.9,217,238,1.12,58,35,89,
2.025,100,-0.1,15.2,14.5,212,3350,3,2882,2896,64,5.2,5.8,4.1,4.1,5.8,0,84,12.34,12.34,16.56,99.6,180.7,468.0,14.6,544.8,217,239,1.12,58,36,89,
2.074,100,-0.1,15.6,14.6,212,3394,3,2882,2897,64,5.2,5.8,4.1,4.1,5.8,0,84,12.21,12.21,16.48,99.6,181.5,476.0,14.7,547.4,217,242,1.12,52,36,89,
2.115,100,-0.1,16.1,14.6,212,3444,3,2882,2897,64,5.2,5.8,4.5,4.1,5.8,0,84,12.32,12.32,16.55,99.6,182.2,484.0,14.8,576.5,217,243,1.12,46,37,88,
